alumno;curso;nombre_cas;anyo;evaluacion;media_nota
01e2350a187df43c46de01fae05b1280cfd4994f49d718cd788df553d855f023;2837629533;Segundo;2022;PO;8.0
04657a6aa03c5bcf8910d28133e24399256b8e3ad35232524e6af4e9c662a3f2;2837633097;Segundo;2022;PO;8.0
05c9d2ee0d26bf04181028512767c24fac6b7e6321149bd18c1266f08a9ab8f0;2837626001;Segundo;2022;PO;8.0
0631154b22d0c8853330cd7aafcdbb87453e43296018ce42576bb464fbfb54b2;2837626493;Segundo;2022;PO;10.0
07806290b48de119e0e31b38c5cef40871d61fa5776936e7adbbf8f9bf64d275;2837626024;Segundo;2022;PO;0.0
07b3c73e2701c94b39c4b7b2198ef8b9e765b24dccc6d859a1cc8cb89bb3691d;2837633062;Segundo;2022;PO;9.0
0801bf6e88c3b2ee21a3f28c2231c3e85423227ad9ec798f6f208f4c0e91c027;2837633174;Segundo;2022;PO;9.0
083c899e558166b34f225c042739fea703121addc72e54542691311f1fd3dec4;2837629533;Segundo;2022;PO;7.0
099d16c5a69fe5c6905dbddff70b5426431a76eb42d3f6c3daac7d29c690fb2d;2837632598;Segundo;2022;PO;0.0
09ed6a20b13126f76f4202e5082cb302acb60c72f49a2118c8434df61d70164f;2837629533;Segundo;2022;PO;10.0
0a433850f1c4c00f11189de5e23d03b386d2d53367ceb4e737b258150f28b843;2837626493;Segundo;2022;PO;9.0
0b9b24e58e89c887213d0a52e884318c39af706b6d66c689891041bfca01a56c;2837626024;Segundo;2022;PO;7.0
0bf8daa354800b1877f0be3d01fc147963ca2ba19ff45b57c54cdc4c83e4f3fb;2837626001;Segundo;2022;PO;0.0
0e2eac733e3b8b04e2ccc4c33d0b1abf0387fce57c370689906b9800c89d7322;2837632598;Segundo;2022;PO;4.0
0e483a2ab98a26b3d16f4b746f10a735519e5dc592054eba222ea1c286501dd3;2837632598;Segundo;2022;PO;6.0
0e94fc5104a984b34fc18b5419617d18df5ab0180726b235f79c9cb803cff8db;2837632598;Segundo;2022;PO;9.0
0faf430a172696e2cd284ef8ce73465d0925db5e717c77d6ff9a1039bec05fb3;2837633097;Segundo;2022;PO;9.0
102ff508fc6867b423240af08598be5061de55b47ffea9bbe372440adda2edf7;2837625936;Segundo;2022;PO;2.0
13b16f9617a8f2afb3f1880d2aadef8b508799a6bf69aa59ab30776bdbe14524;2837626493;Segundo;2022;PO;5.0
13bf99f6328739f4fd2404df8b1776956c85f5ce136bd22935086e8f532c9412;2837626493;Segundo;2022;PO;6.0
144cd9c28ddd63f662d83c2ce52e584028e1374a47f7e27c3f8b2122ec3d8387;2837633097;Segundo;2022;PO;6.0
14979b2cf7eba1928bb37102f011f33a65bd0912bab96dbfca94ed575b2a6113;2837632598;Segundo;2022;PO;0.0
1536072319c64368808af94456160d9addbbc7d323735e9ab0db35be51f1e3ec;2837632598;Segundo;2022;PO;10.0
163342b903c0b68b3f0043c87693b2b72de9fa0df5d4d0e112b5b1a61f42f718;2837625936;Segundo;2022;PO;0.0
