alumno;curso;nombre_cas;anyo;evaluacion;media_nota
007001e6824f5bf5cc97e958d8ffcdad5eee7436bba6dba94183f3a832083df9;2837632176;Primero;2022;EX;0.0
008cc095621c3c7436bc51db2b7c555f9d0cf418f89ce6e83e4b800c821d22e9;2837625929;Primero;2022;EX;0.0
01607251a90215bc93bfec2692813e8ad112db64fcc36eb5fd09c42e72542fd3;2837629533;Segundo;2022;EX;5.0
01e78ce99c547ea7bcfdda1e6e836882c3c1d0cd223e8beba808d32265cb5d12;2837629455;Segundo;2022;EX;4.0
01ef3f9b756cd2a8884e417d4041702368f002daa9bfce26c4dc9e4f25d77546;2837632176;Primero;2022;EX;1.5
01f6c168488d02fa4569fe29867947f3644c69d9d2d939f164b66b77f7054ca5;2837629455;Segundo;2022;EX;5.0
02cca79dfc9446395a3a99de6cd109247a5b49018bbaef9418e5770a2b079675;2837633032;Primero;2022;EX;3.0
02e8ff46b1507466771b0851e85c27d6e571ba96ac7bcb86a9eb1d94de494c8c;2837626486;Primero;2022;EX;5.0
030c807a607332b96f2d37394117fd275ac195356e85119ddbbada4d3afa9520;2837629540;Primero;2022;EX;0.0
038e42b9b7505f08fc907d5c224e5e53fea97d895d0d497a7ccd25a94ca5194a;2837632591;Primero;2022;EX;3.5
058249467c578523d30da0b2c1830dc4497d3aaa4e2102a99e7c9bc3c552cb4b;2837633032;Primero;2022;EX;0.0
0595183b4858c4f08f5c082671ac1c6b2039075cef6ccf734167a0afaccae645;2837629448;Primero;2022;EX;0.0
05c9d2ee0d26bf04181028512767c24fac6b7e6321149bd18c1266f08a9ab8f0;2837626001;Segundo;2022;EX;8.0
07942bb867a9f0218f6f9aa45fabd590bc1836cb1db527c6b238d34bf0a32f9a;2837626486;Primero;2022;EX;0.0
07bbeb2a379647066cedff23520197cf3e7a62f01261685df99e650f08dfc484;2837626368;Primero;2022;EX;5.0
07ddefeed03da10c05a84d1ac1004cc92bfe2908037aebd41bb21ebdba5e3145;2837632591;Primero;2022;EX;0.0
087df65591a3845b00a17ab78f9d4f3846e6983e2446501f5f2515b053a2db8d;2837633069;Primero;2022;EX;0.0
0a54eaedc36b1a4360d5863df3f83646a497d661a000e9b883bb3d25d11e93b7;2837632591;Primero;2022;EX;0.0
0aab9c9a69368779e69a6cdde348b75589486d7baa908a75200324b9cd4c3efa;2837626486;Primero;2022;EX;0.0
0be2184c8e3db3a1ff4e4fd35aaa9de8f9bb1cc3fdfc93c4d45061883f40b63f;2837629540;Primero;2022;EX;0.0
0c33d0555ec9e8a55e7a5b15ce58ac426ffaa11658d2cee0fb304b268c33a758;2837625929;Primero;2022;EX;0.0
0cf70b7359ec503449c8ea74df76fabd673147c8b5e2e2e9c957d8fa15a78ee5;2837633174;Segundo;2022;EX;1.0
0ebbc32c1ddfa79e70677680b662972b798c02116d3abbc8adb5eac25deb01a9;2837629533;Segundo;2022;EX;0.0
0ef63120235503b22bdea13de986ae298937497029d8d394cf397d101c85384a;2837629448;Primero;2022;EX;5.0
10599c4ca09e2724fdb91ed8853fd26770d2491e785d0a1eeb6f93797252aa73;2837633032;Primero;2022;EX;0.0
10aa9b05dacebfc50138b59bf5b9e9d75625ed986465340c4e9bc76bbd5d688b;2837629540;Primero;2022;EX;5.0
10e4b6635fbca4223eb42cea711481249b0ff7722b523b76f34ae195c5f1961c;2837633069;Primero;2022;EX;2.0
10f74ba350cbeb2f4e25a29c5104fe6bc30cbca7ea10f43226fdbffb7b0e3aee;2837626450;Primero;2022;EX;4.5
123109517ddf13fc4c692fc3304df4157d6193a2e7fbfd3c298564034a5b4d29;2837633097;Segundo;2022;EX;4.0
12ce795215fee2806672c09564966c5333b468723dc6aa4daa5e8212e3657fc7;2837632176;Primero;2022;EX;3.0
13a8ba4dc11db33e2bf2cc466ff20b1b24d895983f458e95b78fb953a56ab4e2;2837633039;Segundo;2022;EX;5.0
141bdfcf0c2f76ac18e5e86b11c13209ca8168e2405ce4ffc42a772bd40cdfcf;2837633069;Primero;2022;EX;5.0
14350bba95ee94bde4b5976cb7485aedea69686cff91dd42918f02896aa9a41d;2837633069;Primero;2022;EX;3.0
14979b2cf7eba1928bb37102f011f33a65bd0912bab96dbfca94ed575b2a6113;2837632598;Segundo;2022;EX;6.0
1557e2e4395194ed7e55abe142832ebd684cc8229192e962133d9d39fd1039f4;2837626486;Primero;2022;EX;0.0
1677bb700f0db7ecb6372de091b43f9a8875152fd3c2d938c24d2c762b7d34ae;2837632591;Primero;2022;EX;3.25
16dc6b813d568eb8cbafa17feda53de6cb59eab9ca46599d44c7769fec8d3ec0;2837629448;Primero;2022;EX;4.0
18cb522d75456f772775c0772b3c917f878968f5cdab73805cae7d5f1f0dce3e;2837632176;Primero;2022;EX;0.0
18ccd70f43b4c93334887307c26c86f707f731a605dfe96cc8365ad48b0113ca;2837633039;Segundo;2022;EX;5.0
19392598b7642098738d12a82945e33585efc3bfce583ec033a19ddcbc60cd9b;2837629540;Primero;2022;EX;4.0
1985f057786ba3ff7bbcff5612ecd27aefdbedb69022f4c650c33193e3eb4770;2837633167;Primero;2022;EX;6.0
19df4c6d35e6e1697fb2405dcc0848be5e53ee249afdabd5cb53ec503b0d164c;2837633032;Primero;2022;EX;0.0
1ab7a50894b370fb2cdb00dc6dd5caff3a0658db1fe3204ba39a1319058c5125;2837633069;Primero;2022;EX;0.0
1aeec7fad0ea7c8c5997ec64a1c4798d3a6a887aa277095ccbffaeb2edd7501f;2837629533;Segundo;2022;EX;6.0
1c2fab3d9f0d601510e01cc5b69c56cbc4c77c9ecb9b939bff68e6833eb0655c;2837629533;Segundo;2022;EX;5.0
1c3c44c7009014816eb6b9904f35b8d742496a299788d90977f20db321991c88;2837626486;Primero;2022;EX;0.0
1c4667fdc9873c80902e1df3436f47776feed83dd4d8279a12f2bdc67845281a;2837629448;Primero;2022;EX;0.0
1d52209fefc100999366b67f79bd0e752f023e7d5750928d681683a5da5d32d9;2837633032;Primero;2022;EX;0.0
205b0a0dc3e92bd5fe4450ee8830fb98d829a9a0673cc8259382109bf12140d1;2837629448;Primero;2022;EX;0.0
205ec0418243fbcc046da1c9a73f44d2d9dfb2aa21790b65dfa36b2b7525bbde;2837633090;Primero;2022;EX;0.0
205ec0418243fbcc046da1c9a73f44d2d9dfb2aa21790b65dfa36b2b7525bbde;2837633097;Segundo;2022;EX;0.0
216516fa10436516825f77453bc40ffa7b2c24f2121c795d2b50e65d51982536;2837626001;Segundo;2022;EX;8.0
22442af4fc4749f9e1fbabf36fa2ba157a5aa1c5bd55dedb51e380ad66f54d9f;2837633032;Primero;2022;EX;5.5
226ee96f1095778e4eff841ee9a121d8b242ff285c4970293862b2d30f28d66f;2837629448;Primero;2022;EX;5.0
2663fe2407f4b0fe4d98855dde8cfdfdf1e3dda6012482336f857fbc2fd11bf6;2837625929;Primero;2022;EX;1.6666666666666667
26c2cfb38aaf6043b63505218db0a22b3c4347af02fd2d764723d5caa5e2a91e;2837629540;Primero;2022;EX;0.0
272778a761a313fdeb1ce81e886ca7ae69bf6295acc19bd2492db2a87f26d325;2837626450;Primero;2022;EX;4.333333333333333
272d00652560f028ca1059ce3e9b10a71d412eef73bb73d9eb4858399275c403;2837626486;Primero;2022;EX;5.0
276c5cea84acbc24882dcf2b038bcce8b10d7103a70f74935798ac6b964839b8;2837633090;Primero;2022;EX;0.0
276c5cea84acbc24882dcf2b038bcce8b10d7103a70f74935798ac6b964839b8;2837633097;Segundo;2022;EX;0.0
27aac140e04e39327aaa53aeb55fd3a6d061670581f586f716f135f4c67bcc70;2837633097;Segundo;2022;EX;0.0
27cc7ec28faefd0b6d35994e99ada6f9edcb87747467ebc3d4e5e145faf57aa6;2837632598;Segundo;2022;EX;0.0
28564d86f43b2af403ef1b1666d7508c3d23280b587c2ba4f90095688aab3491;2837625929;Primero;2022;EX;5.0
29b0b4064619bc13176ff6b667a72c95a305a9017bfe9852f539bf55f573707d;2837625936;Segundo;2022;EX;4.25
2a12eb6cf748acd53bf8cd967970ed79842e8e624e3c0feb7cbffd502d7367ba;2837626001;Segundo;2022;EX;2.5
2a1a234640e8a78ad90a63ab1c572d23228fa9dfdb8808ec2a63b898742ef733;2837625929;Primero;2022;EX;0.0
2a1a234640e8a78ad90a63ab1c572d23228fa9dfdb8808ec2a63b898742ef733;2837625936;Segundo;2022;EX;0.0
2a44c609200dc0586902f889d64d83e2fceb4a7413a4ae29fd1b0dafdf18a368;2837633167;Primero;2022;EX;0.0
2a5db37d3b9840d4766faed703f360ceb849f1e09e29887824e27a270866befb;2837626024;Segundo;2022;EX;5.0
2a9a240f706b8e7b8dc7ba3ab5c114b7172e74fc18d7fc5ee088a68237597609;2837633174;Segundo;2022;EX;5.0
2ae9eb7cd5d38e84c9dc437c5512d09b5370b1ad7f9517a8968790bdc8d1e5db;2837629448;Primero;2022;EX;2.5
2b0ae7dd94ec14eda90927615f0600f2002d7cfc577b7af547840477ba0b5510;2837632598;Segundo;2022;EX;5.666666666666667
2b73b62f2b2d0f96908012aa6c9728c87de332cff557f6a276b60eabb34608f7;2837632598;Segundo;2022;EX;0.0
2bde925f5b29772b10b8c1311059ee8b1709dbc7a1bde90230ddd05c4b2afb75;2837633069;Primero;2022;EX;4.0
2ccf888cad148849eb1b490d01f6c78ce0c0fb05a11488bcd9efd6d51c4d49a8;2837629448;Primero;2022;EX;0.0
2ccf888cad148849eb1b490d01f6c78ce0c0fb05a11488bcd9efd6d51c4d49a8;2837629455;Segundo;2022;EX;0.0
2e03d78e94a7df35685cb20b4ea9bd77778eed107a02dce97d0d36ad5226697d;2837633167;Primero;2022;EX;0.25
2e7ccb975dc396d53c23efc3ba56a69816c0d0e9bdedc28ad2564b0680ca6515;2837629448;Primero;2022;EX;0.0
2f6cf82aa0450bd24028496533cda0180cf7547a70cc5840246bcc853bc36142;2837626486;Primero;2022;EX;0.0
2ff42ef47dba2024f3be724bed5deb8b24b262304988122cb880e7787a8f3e0a;2837633097;Segundo;2022;EX;0.0
30090ed1f4c879f10b6ce91ac6f8b19d91f89a9fe425dbb64f96ef0f510e9ed5;2837632598;Segundo;2022;EX;4.5
306d62e93d55cda1e569fa687f3ce317875097f186ad4fefe81ad11ab28c2058;2837629448;Primero;2022;EX;0.0
3075826b1d7011fc1a40f6bebe735f954abefdb07e9d4dd50d306a8d372f0afe;2837632598;Segundo;2022;EX;7.0
30e5edb20d73bf9900d5616cc841d289adec2ed8ad14334a6610c9960076cb59;2837633039;Segundo;2022;EX;5.25
3187f0400d4c0d5d5ab75c5954c758c17577133d3e1a27b6cf913242e5588f2d;2837628459;Primero;2022;EX;2.0
320124bf573e23b88c9906ac67f3fc2f6679baee06bc10688259c633353be6de;2837629455;Segundo;2022;EX;6.0
3245b7fa03e10f8fba141d00ce911a2850db8707a9e853dc4c874339ddae79ce;2837629540;Primero;2022;EX;0.0
328bdf3006ab3dec7be7f5e5b1070a30b4ca96c9aad203394e6e78d6d6471c77;2837632591;Primero;2022;EX;5.0
328bdf3006ab3dec7be7f5e5b1070a30b4ca96c9aad203394e6e78d6d6471c77;2837632598;Segundo;2022;EX;0.0
333e266378bf75543532cd439d4937b8146bddb06e7cb1d05f1e34797eb9cf03;2837633062;Segundo;2022;EX;5.0
33a5dd251bfbd4f599713caf9ef4c74ed622efbef0349fe855b4e700e8779a38;2837625994;Primero;2022;EX;0.0
33a6d1b4f3e6ee31beb2d964b6bb25a925bffc61db7efaf8163b7f5724fcde9a;2837629533;Segundo;2022;EX;0.0
33a6d1b4f3e6ee31beb2d964b6bb25a925bffc61db7efaf8163b7f5724fcde9a;2837629540;Primero;2022;EX;0.0
33c15f2e6402ec72db71289b5312b40f29fa5bde535ed49d3e7711157305ee5f;2837629448;Primero;2022;EX;4.333333333333333
34882cf462d6839f81cade7da3d229f6b47cebe4bac99c7a0d1316df2645ec75;2837629533;Segundo;2022;EX;0.0
34882cf462d6839f81cade7da3d229f6b47cebe4bac99c7a0d1316df2645ec75;2837629540;Primero;2022;EX;5.0
34a276d07b421979e86a23831bb3756c9f95927d21b0d770d3d535a614121a07;2837629533;Segundo;2022;EX;1.0
34a276d07b421979e86a23831bb3756c9f95927d21b0d770d3d535a614121a07;2837629540;Primero;2022;EX;4.0
354c1404484de08b9569cc2653e6ef44562111b0056cda9cc29993871cac1c61;2837629533;Segundo;2022;EX;0.0
36b6bccecad10bd8874bbe3121f74a73bddabb467ca312b142d0a5759f6865e5;2837629540;Primero;2022;EX;4.0
36ef524a5a1259ca51af4c42ac9370c133bb5892eebe90f07eafff822e2f5f7a;2837633069;Primero;2022;EX;0.0
3750e770c7cd71c2a6aedf8d8072fb5f04c1af231aa452e58c19b8953ff91d98;2837633032;Primero;2022;EX;7.0
384adb50feed1cd79235f975225d6f986e1a36dc0784c37b4ffa934c1ac0196c;2837626017;Primero;2022;EX;0.0
38e3afae64d65bb05b989abc70a96a652de5aeeabeffd85349f085e515113835;2837626486;Primero;2022;EX;4.0
394cd6c0fbe5efbcd33aab491a1d72801cafdf37730fbe4f26b35178819d57a1;2837626486;Primero;2022;EX;0.0
3a0ab5daa485eb4d20f430c0fff96087c0dbfbf969be124b6358f9175ccd02e3;2837633069;Primero;2022;EX;3.0
3bb8fc7790617e09c11987735006c5b86c2ab84cc38b7847e7ccbb7a1cd7cae5;2837626017;Primero;2022;EX;6.5
3c1d49f07f79a4db050e97f1f1afe3ad65140acb0e306d78176dd92bcffe9bce;2837625929;Primero;2022;EX;0.0
3cefb7d8e149e24d4ef6c4380652d42dbd747856b3484f1ba717f8ab4c58795c;2837633039;Segundo;2022;EX;0.0
3d0edd9ccd12b1945a3eb74ecec2add3e122cda2ab72d123239e9e2e1d334a9f;2837629533;Segundo;2022;EX;2.5
3df3d95c45c94e9747e6dbab0be08b03efc8ba577a073e07982228de5dd46b27;2837625929;Primero;2022;EX;0.0
3e7b680bf6d44ddf1955815342fc863d661f15afb08899511f8cc47f3977c010;2837629448;Primero;2022;EX;7.0
40979e4ac85aa1760e70208d14fb7a31c8fbce69c344a6252aaff1c8cea092a8;2837632176;Primero;2022;EX;3.0
414ba229f4cc0bf33e07985ebf6ca68c828d572d5a6377521926887d1e40cfa6;2837632176;Primero;2022;EX;0.0
4260c7882ca3c2d06d886a7c1fbca3397809157a544c9975e7384600a3989564;2837629533;Segundo;2022;EX;2.6666666666666665
4260c7882ca3c2d06d886a7c1fbca3397809157a544c9975e7384600a3989564;2837629540;Primero;2022;EX;7.0
426376d828007b1d2e75c372aaa598179fc30a8d23036af5ca47c6e7e6436181;2837629448;Primero;2022;EX;0.8333333333333334
431030cbf057d379079326285226e098a1eb0967a6b838b37aa5ec05faf78965;2837633069;Primero;2022;EX;0.0
43654f5b8ebe6473f2fc1f8226c16f9d1a1036b69914a0466f684b5f3e1a22ae;2837629533;Segundo;2022;EX;2.5
444fcd5bde5486a8323e3f33b420c71529131c1c458b54a9e3b22f9932bfe2b4;2837626368;Primero;2022;EX;0.0
4451ede995e057278f6ff827cbbcfc4ebdb730fd83e132f4e9f1e1b6cda9fb2f;2837629448;Primero;2022;EX;0.0
44dbaca593235a727f5b85f24290d8e5ecd4572a632f891d2e850e6bd1698950;2837629540;Primero;2022;EX;1.75
465204387a3c8355eadf7f6fe151304bffe6992aabfb1d86bdc2913dd52e110d;2837632176;Primero;2022;EX;3.0
479df5a6285685b81a4a125be53840f640285232b80185ec653637b8b50da26e;2837633069;Primero;2022;EX;0.0
488d1f5a01fcb5b9fcb0c3dfad2c044cbb2edc10a69f31c6b19ced4a40f1ed87;2837629540;Primero;2022;EX;4.0
490a0641de7a25b3c48e4cc1effbeda302d999aee1b563cd0174b3a1058cb83f;2837632176;Primero;2022;EX;3.0
491c68608d3986c87f29255e2af6eedb252c4a19a7f710ba2268f2f0ce9e14e6;2837632176;Primero;2022;EX;0.0
4984773d1fdf322e8245eec898a2e999d0735031923dbad5505dc692506232cc;2837629540;Primero;2022;EX;0.0
4a0255ff097a4ab5360244433a8cd8d61179090ca7893f8b8feb169ae406d41f;2837633069;Primero;2022;EX;4.0
4a2301dd1897670b93f5ac5152548d572a887148a7018262d4e5f47239daf691;2837629540;Primero;2022;EX;0.0
4c4df826bf8a6a22f1890b46f6e5eda7738905ef37ffe0e3b4d7c68315118f42;2837633167;Primero;2022;EX;6.0
4db1778002790faf7b09fe76c8158c9500e2b7a24f4b5bbee9975f6606c4f4d8;2837629540;Primero;2022;EX;0.0
4dc742ef602188b9d021eaeaedd80c380f4b2f3a424a49cf02af075377b10dd5;2837632176;Primero;2022;EX;1.5
4e2c1436a1d06765eeeb6cb2a2360bda5ed5e7e04d90486d4e825d9a0bbde8e7;2837625929;Primero;2022;EX;0.0
4e373f5fd022bc961d1596812083ac91057de314156029cf05c830ccaad17d7b;2837633167;Primero;2022;EX;5.0
4e60d371c8cd143176b62ec79393460b70f2c607ddc985dc751d5f728cc4fa5d;2837629455;Segundo;2022;EX;0.0
4e64a46710ff2fb9285a1c5a5fc7bc0ed99b7d41e036295158eaf80e5ede5f5c;2837626375;Segundo;2022;EX;5.0
4e83d9a6a9719e6be857e16e5310797d8b51a7d2ff06af2f257133263dc47523;2837629533;Segundo;2022;EX;7.0
500cd35629dc58b0dfa4a33c31d2c6a00782117ec682670bea38ccc1a6148b71;2837633069;Primero;2022;EX;0.0
51608ce22ee037b369594e9ea7e1d775980f0fb7724bf7f394dd427dda14d6dd;2837625929;Primero;2022;EX;0.0
51cc3d4dd326b5057a5ea0c60b34476864a30debde91c12bb6b4fa2d0d270f23;2837626486;Primero;2022;EX;0.0
5213f05046bfde9dad9e258c5d5d1d4f28e0166f4d34cbf1e6346289ce767d06;2837633062;Segundo;2022;EX;6.0
52897d1421229ca39fdfc095b06296bb56709f2888925d9dabdcad3e2d32f7bd;2837633069;Primero;2022;EX;3.5
53f71891cbbb8cce290583482aa4a7af6bfb9abec94fb51e73316452296c52be;2837629448;Primero;2022;EX;0.0
53fbb36f733e39ba5a30f1872b247eb1e1a4e181aed42c09de990d59cc6f506f;2837629448;Primero;2022;EX;1.6666666666666667
559944315522704249a20292199991c26b8ad51c80abe33b573c8c31ffddd763;2837629540;Primero;2022;EX;0.0
55acb9363dee50025328fc489a0b0822b4415e649aefcf7a12a0c284a80cf8db;2837632591;Primero;2022;EX;5.0
57bc3b44b8be47e759b340ca716cc6c191b8c4d8e14efc407b279f42017cfa68;2837633069;Primero;2022;EX;5.0
58182f5471690fe58638879d767068113aeb965b3a7cec0e89d2c239f52dab42;2837629533;Segundo;2022;EX;0.0
5a816a01fb09e50f1e0769343108469148c39113e8b6d3597e6de5e5bd8e9885;2837633174;Segundo;2022;EX;5.0
5bc94ddeb60fbc4dc46617e6fb3d4baa4b01dab9c37865d56a88d78a4dd7cd10;2837628459;Primero;2022;EX;0.0
5c26b7e51829af54181e587fb47c26601922f45ce9967202d9c01903518949a0;2837629455;Segundo;2022;EX;6.5
5d3c7aaaaecef4f278fb883cdbc89a764f21f02ec2ab6da2fc3274304e93a080;2837629540;Primero;2022;EX;5.0
5dc884eb645d6cc49b19a742435ceabed7282dcb7f2f1e5371a4b5f9fb6a4269;2837633090;Primero;2022;EX;0.0
5dc884eb645d6cc49b19a742435ceabed7282dcb7f2f1e5371a4b5f9fb6a4269;2837633097;Segundo;2022;EX;0.0
5de37177c3d6a9607a3781b7f6f628e6690ab48522640dd72231d88d19a56b05;2837632591;Primero;2022;EX;6.0
5e4c7eb64af4c1e2e5ea6ed95aaa79af91394f2503788ddb84d250b51518680d;2837632176;Primero;2022;EX;5.5
