alumno;curso;nombre_cas;anyo;evaluacion;media_nota
0aaefde604d93f83432a2ac9909b8a217b4b9fcd9f128f8f9bf71cf88312c816;2837632183;Segundo;2022;F3;0.0
0f7dbf11d7e7e6ff99c6bea8b20e38e7f3cdf2645b302453b1975da472c1bbbf;2837632183;Segundo;2022;F3;0.0
16be36298757cb89b44176ba301bbd0ce1ed0f32104a922901a75cc3509da31a;2837632183;Segundo;2022;F3;0.0
1aa1b9b3bffff426af7c36d0d78e258c7e95a3b181129361928a619c3ef4778a;2837632183;Segundo;2022;F3;0.0
1ef4f9bb97c62e1eda1e97c5d5fac455f56d0c9cb6df98d1bc9271128f740541;2837632598;Segundo;2022;F3;0.0
24a553d84aa4f9395824ccedfd886ba5f3b104a357dcb4512c1e32ae829a3f8b;2837632183;Segundo;2022;F3;0.0
2956dac4b44b0c410986b8d16f941f913e5b82c3b5bccc7c4be890d1031c5147;2837632183;Segundo;2022;F3;0.0
2ab454c24e96aa89fb76901131350685c0b52dea662557cec62d8033698ecb49;2837632183;Segundo;2022;F3;0.0
2ae83ee4f0c5c4ab32151e6c866e4563af801ed150ed93fb8aa2ee3290dd86d3;2837632183;Segundo;2022;F3;0.0
2db097a0274cc2ed612d00cb888aeffd4b7d194f517ec5eb79223656f6ed1538;2837632183;Segundo;2022;F3;0.0
2f85ad136207c5764df4481ef0dbd96b12374dde96bec6a7cf44b988995b4902;2837629533;Segundo;2022;F3;0.0
3110144be0153960e69f24b00222cacb474454dcd9b2a37684e0eca9e7f91de8;2837632183;Segundo;2022;F3;0.0
354a3ee870c6e4a31cb2471f76e3c2584abb9eb3e01cddbbfc311a944ab7308c;2837632183;Segundo;2022;F3;0.0
3b43c34c43c46bd900f5c9dec6edb942c5c3bae106298fa60f4ed851df8adf03;2837632183;Segundo;2022;F3;0.0
3d768fce5ec37640aff39f49f14d9da9c7eb94e39bd9be1a48ee9306636690a7;2837632183;Segundo;2022;F3;0.0
449e6d1ec781707905227e6f39677a3713219e15b6da4292641142f2d287a7a5;2837632183;Segundo;2022;F3;0.0
4d4351ed9fcbaf26e41c0983b5f33f07e912d4c5ea37f0c9c9a8961daec7b162;2837632183;Segundo;2022;F3;0.0
5087a6ac1d197c4113fe9cc89b86d3cd8a7bb4e481eb4f132bcd50db2deb9791;2837632183;Segundo;2022;F3;0.0
5dad424d6b2f097b656eb42f48483fa8466633f885d6459e03cd6472808aa2f4;2837632183;Segundo;2022;F3;0.0
6a85e042039c010451ce5a78ddf7cff46494fc62c9068198f8f8b1dd5950ce81;2837632183;Segundo;2022;F3;0.0
6b4080e45c2c2b8ab24a1b8ffa63c2ae7df9d7b50a26198d564399010e84f863;2837632183;Segundo;2022;F3;0.0
7498fa20fe980e8893156edb6d27fd9f8674119b55cb13a1f94128ecffd57192;2837632183;Segundo;2022;F3;0.0
77476cb0a3723b0ec156236b650f33df902b1da8bd581c06605df228976f0c19;2837632183;Segundo;2022;F3;0.0
7d6ac4a23c1b9ecc630ade26058b9214a9e65d472df8cd326a79a8295a0f142b;2837632183;Segundo;2022;F3;0.0
7f64b9777435f7eb34b122a0b95363ed525fd4ab1753b3294e60b4661e66ca9a;2837632183;Segundo;2022;F3;0.0
843248e294bffac7b6c204ae1d6cb6511c04b41dbc5ab0ac98af21cb0f25524a;2837632183;Segundo;2022;F3;0.0
8a7a01bf9ffacd092fc5e8330e1d6fbb1c7dab83f7b0d49d9550f899b68e820c;2837632183;Segundo;2022;F3;0.0
